avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
7.2,61.0,63.0,32.0,82,78.0, 40356000, 40356000
7.4,83.0,502.0,409.0,91,79.0, 83823381, 166842739
8.3,100.0,1371.0,265.0,100,90.0, 1585634, 1594107
7.1,74.0,224.0,142.0,83,74.0, 31899000, 31899000
6.3,51.0,649.0,310.0,98,70.0, 114766307, 353284621
6.3,51.0,649.0,310.0,47,50.0, 114766307, 353284621
8.1,86.0,1184.0,284.0,91,90.0, 100492203, 216763646
6.5,55.0,809.0,232.0,67,49.0, 186336279, 478207520
6.5,55.0,809.0,232.0,59,58.0, 186336279, 478207520
7.7,,108.0,40.0,86,87.0, 16361885, 16364924
5.4,32.0,108.0,97.0,10,26.0, 10219501, 14431253
8.5,100.0,1232.0,187.0,98,95.0, 4108411, 4374761
6.1,62.0,124.0,140.0,93,73.0, 7000000, 7000000
6.1,62.0,124.0,140.0,61,45.0, 7000000, 7000000
3.5,27.0,573.0,116.0,73,82.0, 37191304, 61141030
3.5,27.0,573.0,116.0,14,39.0, 37191304, 61141030
5.6,34.0,730.0,344.0,16,45.0, 50701325, 113231078
6.6,55.0,277.0,264.0,56,49.0, 43313890, 81124129
6.4,44.0,330.0,127.0,50,62.0, 47121859, 76019048
6.2,62.0,279.0,211.0,74,49.0, 1533324, 5580940
5.0,,25.0,8.0,100,86.0, 1402962, 1402962
5.0,,25.0,8.0,38,53.0, 1402962, 1402962
6.0,41.0,483.0,156.0,100,86.0, 68671925, 119240351
6.0,41.0,483.0,156.0,38,53.0, 68671925, 119240351
7.8,75.0,2721.0,324.0,91,66.0, 659363944, 2187463944
7.8,75.0,2721.0,324.0,89,69.0, 659363944, 2187463944
5.1,25.0,53.0,16.0,4,35.0, 49981, 1910546
8.0,92.0,275.0,119.0,96,92.0, 23650000, 23656620
5.8,45.0,16.0,16.0,44,52.0, 27000, 27000
6.9,84.0,167.0,50.0,68,75.0, 106397186, 106397186
4.8,34.0,508.0,170.0,24,28.0, 63313159, 131426169
6.5,37.0,65.0,45.0,36,55.0, 40833132, 45833132
7.4,,172.0,106.0,100,78.0, 16172, 16172
7.4,,172.0,106.0,63,42.0, 16172, 16172
6.1,31.0,111.0,99.0,11,31.0, 4598506, 17741298
6.7,60.0,104.0,132.0,51,65.0, 36843682, 44371751
6.6,61.0,57.0,41.0,92,79.0, 12376625, 12376625
6.6,61.0,57.0,41.0,79,59.0, 12376625, 12376625
6.6,,115.0,18.0,83,72.0, 6551987, 6551987
6.6,,115.0,18.0,50,77.0, 6551987, 6551987
7.7,77.0,172.0,86.0,90,88.0, 53977250, 53993738
5.7,57.0,61.0,136.0,51,33.0, 229653, 1829020
5.1,,14.0,7.0,11,31.0, 2570550, 2570550
5.5,32.0,121.0,62.0,20,40.0, 64186502, 71186502
7.8,87.0,312.0,125.0,86,61.0, 183875760, 368875760
7.8,87.0,312.0,125.0,96,89.0, 183875760, 368875760
5.7,65.0,134.0,180.0,75,44.0, 9318, 24343
6.8,67.0,136.0,104.0,85,70.0, 18542974, 18542974
5.4,68.0,8.0,8.0,60,42.0, 7162, 7162
5.9,,60.0,45.0,88,76.0, 14942422, 14942422
7.9,,80.0,63.0,97,88.0, 64636, 64636
5.1,28.0,39.0,38.0,13,45.0, 29747603, 30658387
7.1,65.0,101.0,35.0,91,79.0, 32078318, 32078318
6.8,64.0,138.0,179.0,43,32.0, 18390117, 59520298
6.8,64.0,138.0,179.0,80,66.0, 18390117, 59520298
6.0,,59.0,36.0,29,47.0, 6609661, 6609661
6.1,40.0,322.0,138.0,29,47.0, 34244097, 45496534
5.3,,37.0,28.0,22,33.0, 30806194, 30806194
6.6,71.0,204.0,312.0,86,73.0, 1110707, 16322067
